Album,Nombre_Cancion,Letra_Cancion
Psalmos,cara_o_cruz.txt,"Solo en mi cuarto
Escucho pasos en el corredor
Sombras a lo largo
Y de repente solo un resplandor
Podría ser tu regreso
La moneda de un peso aquí me dirá si eres tú
Lo dudo, juguemos cara o cruz uh
Si es cara es alguien mas
Quien será que más me da
Si es cruz uh
Estoy seguro que eres tú uh
Si me queda claro
Una moneda nunca bastará
Pero que se yo, una flor
Chance si me alcanzará
A quien se le entregaría pues no habrá día que tú llegaras
Sin embargo acá estoy soñando
Te reto a cara o cruz
Si es cara nunca más, nunca te arrepentirás
Si es cruz uh
Seguiría vivo aun
Más no sé cuanto mas
No se cuanto mas
Juguemos cara o cruz uh
Si cae cara bastará
Esta pieza de metal
Si es cruz uh
Tú y yo hasta el ataúd
Tú y yo hasta el ataúd"
Psalmos,chambelan_(nunca fui).txt,"Nunca fui señor de un feudo, siempre fui un peón
Juro que siempre lo intento, pues no
Nunca fui un cien por ciento, más como un seis dos
Nunca fue un buen pensamiento
Nunca fui de gran talento, un simple cumplidor
Mi sueño se los lleva el viento, así no
Jamás logré llegar primero, nunca fui campeón
Lo poco que tengo nadie me hizo el favor
El lamento será mi canción como esa que suena en la radio
Ya llegará mi momento, pero eso no es hoy
Necesito fuego en mi interior, necesito sonreír a diario
Ya llegará mi momento cuando salgo el sol
La terapia es un placebo, mas me enseña a ser
Mejor alumno que maestro, yo sé
Nunca finjo estar contento, no encuentro un por qué
No, no va conmigo ese argumento, yo sé
El lamento será mi canción como esa que suena en la radio
Ya llegará mi momento, pero eso no es hoy
Necesito fuego en mi interior, necesito sonreír a diario
Ya llegará mi momento cuando salgo el sol
Al cabo he sido mi propio traidor
Si me prestan algo, lo extravió
Sigo en busca de un poco de motivación
Necesito fuego en mi interior, necesito sonreír a diario
Ya llegará mi momento cuando salgo el sol
Ay, ay, ay, ya llegará mi momento cuando salga el sol"
Psalmos,codependientes.txt,"¿Dónde estás?
Quiero una prueba más
De que exististe
De que fuiste real
Que la guerra la pueda ganar
¿Cómo vas?
¿Cuál es tu plan?
Solo vivir el momento y el hoy
Mas te extraño cada día peor
Si nos hiciéramos un poco para atrás
Podríamos recuperar la voluntad
Si nos pudiéramos, si nos pudiéramos
Si nos pudiéramos odiar
Sería más fácil la batalla
Para ti viviría
Si viviese todavía
Te juro sin duda, moriría por ti
Lo malo es que ya morí, oh oh oh
Si nos hiciéramos un poco para atrás
Tal vez el precio bajaría a la mitad
Si nos pudiéramos
Si nos pudiéramos
Si nos pudiéramos odiar
Sería más dócil la metralla
Si nos hiciéramos un poco para atrás
Estoy seguro, yo me sentiría igual
Si nos pudiéramos
Si nos pudiéramos
Si nos pudiéramos odiar
Si nos pudiéramos
Si nos pudiéramos
Si nos pudiéramos odiar
Sería más fácil la batalla
Si nos pudiéramos
Si nos pudiéramos
Si nos pudiéramos odiar"
Psalmos,imposible.txt,"Yo olvidarte, imposible
Hacer punto y aparte, imposible
Todas las mañanas yo extraño tu mirada
Cómo no acordarme, imposible
Que como tú hay más iguales, imposible
Que no te vea en todas partes, imposible

Mi vida está olvidada y al final quedé con nada
Recuperar la magia es imposible
Me dejaste cuentas claras, la cuestión esta cerrada
Siento extinguir mi llama, más me sentiré mejor mañana
Deja abierta tu ventana, no te hagas otra extraña
Que algo de eso pase, es imposible

Solo dime dos palabras y déjame apreciar tu cara
Para que respire mi alma, pero siempre tú le das la espalda
Total, mi suerte nunca gana, volveré a tratar mañana
Aunque que algo de esto pase sea imposible
Dicen que nada es imposible"
Psalmos,lamentable.txt,"Lo bueno en esta vida cuesta más no le pongas un altar
No le des la espalda, la catástrofe va a comenzar
Rezas al vacío y pides que todo sea un poco más fácil
La luz que está al final del túnel ya se está por extinguir
Como se extinguió la mía en la mitad del mes de abril
Rezo al vació y pido que el golpe sea un poco más dócil
El tiempo nunca va a regresar
El tiempo nunca corre al azar, oh no, por eso
Puro, puro bemol, no anestesia el alcohol
Me encandila el farol que alumbra en mi dirección
Lamentable misión, enigma sin solución
Soy aquel perdedor con cara sin expresión
El tiempo nunca va a regresar
Todo esto es lamentable y tardará mucho en sanar
La vida no es suave y justo apenas vas en la mitad
Sé que pensarás que es drama, que siempre voy al extremo
Todo esto es lamentable, ya se apagó mi luz
Veo a oscuras, sueño que en mi cama estabas tú
Todos teníamos a alguien, ese alguien que no tenemos
El tiempo no se vende en bazar
No importa si eres nones o par, oh no, por eso
Puro, puro bemol, no anestesia el alcohol
Me encandila el farol que alumbra en mi dirección
Lamentable misión, enigma sin solución
Soy aquel perdedor con cara sin expresión
El barandal del balcón me hace entrar en razón
No es que tenga valor, la caída es peor
Lamentable el error, le pondré atención
Si soy ese cabrón con poca conversación
El tiempo nunca va a regresar
El tiempo nunca va a regresar"
Psalmos,la_dama_y_el_moribundo.txt,"Yo tuve un sueño en el que era cierto y por supuesto no
Ella en su sueño, yo estaba muerto
Con ella el cielo estaba abierto y luego lo cerró
Yo era un experto en hacerme el muerto y eso me mato
Cuando el sueño se hace realidad
Sin duda es una señal
Me hincaba en el suelo a besar su cuerpo, como la conmovió
Porque su cuerpo era mi templo
Ya rece el credo y dos misterios, pero ella ignoro
Porque su cuerpo no era un templo, era una prisión
Todo lo nuestro, todo eso y más
Quedó en el fondo del mar
Pedazo de cielo, pedazo de mal
En el averno me encontrará
Su cuerpo era mi templo
Su cuerpo era mi templo
Se convirtió en prisión
Su cuerpo era mi templo
Su cuerpo era mi templo
Se convirtió en prisión
Su cuerpo era mi templo
Su cuerpo era mi templo
Se convirtió en prisión
Su cuerpo era mi templo
Su cuerpo era mi templo
Se convirtió en prisión
Su cuerpo era mi templo
Su cuerpo era mi templo
Se convirtió en prisión
Su cuerpo era mi templo
Su cuerpo era mi templo
Se convirtió en prisión
Su cuerpo era mi templo
Su cuerpo era mi templo
Se convirtió en prisión
Su cuerpo era mi templo
Su cuerpo era mi templo
Se convirtió en prisión"
Psalmos,o_discordia.txt,"Quise vender mi alma
A nadie le interesó
Tal vez no vale lo que pido, no
Tal vez no es bueno lo ofrecido, oh
Oh-oh-oh-oh, no es para tanto
Oh-oh-oh-oh, no es inusual
Oh-oh-oh-oh, se tarda años, está herida en sanar
Si no morirá al final
Quise subastar mi cuerpo
Nadie grito ""yo voy""
Yo sé, no es un producto nuevo
Yo sé que se ha caído al suelo, oh
Oh-oh-oh-oh, no es para tanto
Oh-oh-oh-oh, manda señal
Oh-oh-oh-oh, que me quebranto
Pues lo voy a arreglar, lo voy a arreglar
Yo traté, traté de darte lo que estaba en mi poder
Te puse todo mi universo a tus pies
Traté de enderezar lo que estaba al revés
Traté de hacer que un año pareciera un mes
Traté de escalarte y se rompió el arnés
Traté de hacerlo largo, pero, fue después
Compré el azul, pero tú lo querías café
Quise vender mi alma y no hubo interés"
Psalmos,padre_nuestro.txt,"Me dejaste plantado otra vez
Acordamos vernos en el templo
Me dijiste: ""todo va a estar bien""
Mas, no se acaban los contratiempos
Me mentiste mucho más de diez
Tus promesas jamás fueron hechos
Se acabó mi paciencia y mi fe
Y tu doctrina de mi detrimento
Oh-oh-oh-oh-oh
Mis sueños viste romperse en el suelo
Oh-oh-oh-oh-oh
Sigo esperando consuelo
Que se acabó tu paciencia y tu fe
Mas, me lo dices con un mensajero
Estos humanos la traen al revés
No esperes que les tenga respeto
Ya me cansé de que seas mi juez
Que mis plegarias regresen en cero
Me adiestraron desde mi niñez
Mas, creo que abajo está el verdadero
Oh-oh-oh-oh-oh, ¿dónde estás pastor?
Oh-oh-oh-oh-oh, ¿dónde estabas todo ese tiempo?
Oh, Padre nuestro, oh, Señor
Padre del humano error
Mándame otra tentación
Morderé el anzuelo
Oh, Padre nuestro, oh, Señor
Nos rechazaron a los dos
Quiero descubrir amor jugando en el fuego
Oh-oh-oh-oh-oh, deja de tomarnos el pelo
Oh-oh-oh-oh-oh, pondré mis intereses primero
Oh-oh-oh-oh-oh, ¿dónde andas pescador?
Oh-oh-oh-oh-oh, ¿dónde diablos pasas el tiempo?
Oh, Padre nuestro, oh, Señor
Padre del humano error
Mándame otra tentación
Morderé el anzuelo
Oh, Padre nuestro, oh, Señor
Nos rechazaron a los dos
Quiero descubrir amor jugando en el fuego"
Psalmos,sin_ampersand.txt,"Si, fui yo responsable de que todo acabó
No te agarre de humor y así el mundo perdió su color
¿Cuántos días van?, ¿Cuántos más me faltarán?
Despertar del coma, cambiar el canal, no volver a cantar jamás
Si, fui yo el que de esta mala obra fue autor
Cambié camino, cheque el reloj, pero mi norte al final se perdió
Tienen que acabar estas canciones miseras
Cabeza arriba y sentirme capaz, no volver a cantar jamás
Tengo miedo de pedir perdón
Tengo miedo de hacer esto peor
Tengo mucho miedo de olvidarte, pero poco a poco olvido tu voz
Tengo miedo de rezarle a Dios
Tengo miedo de tener más valor
Para ser sincero también tengo miedo de que poco a poco olvide tu voz
Sé que estamos lejos, mas nunca pude decir adiós
¿Cuántos días van?, ¿Cuántos más me faltarán?
Aceptar mi derrota y ya, volverte a cantar, jamás
Tengo miedo de pedir perdón
Tengo miedo de hacer esto peor
Tengo mucho miedo de olvidarte, pero poco a poco olvido tu voz
Tengo miedo de tener la razón
Tengo miedo de hasta darte una flor
Haz algo al respecto
Aunque sea incorrecto porque poco a poco olvido tu voz
Sé que es lo de menos, mas lo único que tengo es tu voz"
Psalmos,ssdd.txt,"He visto fracturarse a este espíritu
También se cura igual que tu
He visto demasiados ojos perder su luz
Muchos cargamos esta cruz
Cerré la puerta, los venenos de esta pena llamados humanos
Mi propia existencia depende de que este sea mi llamado al cuadro
Mi flaqueza es más fuerte que yo, mis pecados son más pulcros que yo
Hasta mis sueños tienen mas ambición
De todo esto yo ya me canse, en unos días todo estará bien
Ya voy a estar bien
He visto hasta al mas fuerte perder salud
No todos tenemos la virtud
He visto como los anhelos se van al sur
Hay demasiado tiempo aún
Abrí la puerta a aquella voz que de mis entrañas emana
Que la bruma se esfume ya
De la pesadilla despertar
Mi enemigo fue otra vez superior
Mi inseguridad seguro venció
Mi cuento de hadas era ficción
De todo esto yo ya me canse
Prometo que mañana estaré bien
Ya voy a estar bien"
