ID-IMG-Meme, texto
DS_IMG_1075,Cuando te das cuenta que no es mugre @alexesmu 
DS_IMG_2669,Ya estaríamos en octavos; si alguien no fallaba su 00 MEXICO Zona penal 
DS_IMG_2593,Nadie: Lo de Cinepolis que se quedaron con todos los vasos de Barbie: 28 98 8 .8 98 OJuexDiequlo 8 
DS_IMG_261,Dice que los tragos hicieron estrago en su cabeza entonces ya no es sexo consensuado 
DS_IMG_1037,"Cuando te salen tus 3 novias al mismo tiempo Ok la cagué, mejor me voy con miesposa "
DS_IMG_2318,al menos mi cuñada me quiere mi cuñada 
DS_IMG_3069,Quand [egas a@ plnte] Conalep conalep iniun I Es Bellísimo 
DS_IMG_1879,YA NO PUBLICAREMEMES OFENSIVOS Y DE MAL GUSTO BUENOUNOMAS Y YA 
DS_IMG_2435,SE TRANSFORMA EN VAMPIRO NO LO DEJAN SALIR DE NOCHE 
DS_IMG_1896,[RA ESTE ESTÁ MAS PENDEJO QUE TU 
DS_IMG_2668,10 iCarayg Vavadía 22 Z4 24 
DS_IMG_2028,REPASA PARA UN TEST SEEQUIVOCA DE MATERIA memegenerator es 
DS_IMG_20,CHSTES RACISTAS CSTES @csS (ERES EqUMOR RACISTA) HUMOR 
DS_IMG_1092,sacaste los ojos de tu madre No seas mamon; jefe: ~Hijo; 
DS_IMG_369,Paro r strea {as rvfexes; FKCO Tijeras de Cocina njcras multi- 8; funcionales para la cocina buenas fuenes y rcslstentes TIJERAS PARA MUJERES 
DS_IMG_704,BUSCOHOMBRE [MPAR PARARELZACIGY SERIA memegeneatoes 
DS_IMG_516,Vean el lado positivo siempre 
DS_IMG_1573,Cuando te pega un sentón en seco y truena el frenillo Wmemellonlal 
DS_IMG_854,"cuelga tu! No,Cuelga tu! EMBAJADtor | Memedroid "
DS_IMG_2473,"Cuando veo el precio de los boletos para Luis Miguel en CDMX, incluyendo los más baratos àTe parece que somos ricos? "
DS_IMG_1792,cY ESE CHUPETÓN? 'cCUÁL CHUPETÓN_HAMÁ? 
DS_IMG_63,"Señor exprópiese @NoVive_Socielis 18h Argentina Francia Equipo multiétnico Equipo racista francés: argentino: 9 jugadores africanos, 11 jugadores blanco y 1 arabe mestizos @iLordPorky "
DS_IMG_931,CUPONES DE DESCUENTO EVITE USARLOS CON RETRASO 
DS_IMG_3296,"Me encontré con mi ex; y hasta fuimos a comer, y al ver nuestras fotos, me vinieron tantos recuerdos. @kinechan2 0 "
DS_IMG_1815,YA HUELE A POZOLE 
DS_IMG_810,tu papá viendo como gastas 200 dólares en una figura de Batman en lugar de ir con las cariñosas 
DS_IMG_2575,DEIMMEE SIESTOOYIZORAKDOOOO 
DS_IMG_3189,"~Ciencia: ""el olor a lavanda reduce la ansiedad, depresión y el estrés . -Yo: "
DS_IMG_1898,WODY PARA ESO SEUSANILOS CONDONES PARAEVTNRQUE NASCAN PEHDEJOS COME ESTE 
DS_IMG_1393,No importa el tamaño del péjaro  Lo que importaes como se lo avientas a la puerca 
DS_IMG_1246,Cuando estoy enojada con mi vato y sin querer me caigo enfrente de él. 
DS_IMG_2901,chanoa tu Keynana & dja de guskar eregaeko Problema resuelto pero ahora le gustan los cinos Paneo Yunonuevo empieza 
DS_IMG_1875,"Hijo mañana no irás a la escuela, no tengo gasolina y que apoyar a AMLO Pero papá maiana tengo examen y si no lo  presento me quitan mi beca 9 EICarteldel Sarcainoo Maldilo; neolacista) (ili, huachicolero; vendepatrias; de seguro te pago el prian #yoconamlo #amlonoestassolo; hay "
DS_IMG_2161,JADEGEBRERO CUAMDOTERMINAN 
DS_IMG_529,àCual de ustedes dos es el activo? yo 6? 
DS_IMG_3082,"Visto en ElRincón de Opaito Señora . tiene ""Usted tambien partido en 2 el escape M 6 Visto en ElRincón de Opaito "
DS_IMG_2015,Epecto coronavirus el gimnasio para no ir nunca 9 ahora Ma ^ 2 _ que no poedes ir te pones a hacer pilates en casa aa lea. draw Pagas 
DS_IMG_939,"Documentales de asesinos seriales: ""Era una persona solitaria, sin amigos; sin amor; pasaba todo su tiempo en casa' Yo: "
DS_IMG_1211,Cuando te veré Cuando me vuelva de nuevo mi pelear con mi amor marido. @culturaferisa 
DS_IMG_1161,Cuando no sabes que modelo escoger 
DS_IMG_302,Cuando la nutrióloga te dice que sólo dos tortillas: 
DS_IMG_2884,Yo EN ESTAS ÉPOCAS No IMPORTA CUÁNDO LEAS ESTo EL DEFORMA Electrolít Kuend 
DS_IMG_3297,"Nadie, nunca: Tu causa: Ya no el hagas caso. Él no merece tus lágrimas. Salimos un rato para que te despejes. "
DS_IMG_764,Cuando Ilega algún electrodoméstico nuevo 
DS_IMG_129,Qumdousgmiadolui aJBrqaanysuemtucelil allaMuc 0 NO AHORA PORFAVOR 
DS_IMG_309,MUJERESLAMILLONARIA? cQUÉ 
DS_IMG_1401,"Ahhhhhh;, perro. Traes la bici polarizada apallg O lutenCuenwc "
DS_IMG_1290,"Cuando por andar con tu desmadrito te perdias 00 en ""La Parisina GFAW "
DS_IMG_2982,La señora chismosa de la cuadra cuando Ilevas alguien que no es familiar a tu casa 
DS_IMG_564,"LO QUE IMAGINO (UANDO DICEN MACHISTA, MISOGINO OPRESOR DE LA MUJER CRÓNICAS deun ATEO "
DS_IMG_2160,Ten cuidado; están calien . IVE7_JULIO 
DS_IMG_787,Oiga y usted no piensa volver enamorarse en su vida Ni en subida ni en bajada 
DS_IMG_596,Yo después de dormir 2 horas en la tarde: q dia es oi? 
DS_IMG_1462,El chavo que se cree guapo por que maneja moto_ 
DS_IMG_81,cómo se dice suegra en ruso  ] The future is now; old man. estorbo 
DS_IMG_117,Ultimando detalles para el 24 y 25 
DS_IMG_2415,Durante la cuarentena: Los demás 1 Yo 
DS_IMG_2348,"""SORPREIIDEVE 20207 [OTEDOY OIRA MOMJAS D @OMEVOY A COMPRAR UNBARBIO "
DS_IMG_1811,ESMÉXICO WEY CAPTA 
DS_IMG_366,"muéstrame la frágil masculinidad Ded DI Siri, {MERDR "
DS_IMG_31,"nadien absolutamente nadien los morritos de 13 años con su disque ""depresión"" Bdluuino Academia "" Losiento No sé cómo se sonrie. "
DS_IMG_3212,iCómo le haces para q no se te pegue el huevo? Me baño seguido: 5ia 
DS_IMG_976,Vendo mesa para hacer dieta 
DS_IMG_589,"AMLO es misógino por empezar a vender boletos el 9M, le falta empatía es un potencial feminicida AMLO cambia la fecha para respetar el 9M* Jaja AMLO mangina; ya no sabe lo que hace, cobarde matoncito "
DS_IMG_1553,Yo en estos momentos: EN LA ME DE  NO EN EL Y DíA QUE HACER COMO SUEÑO NOCHE 
DS_IMG_466,[7SIAYS] POBROQURERLASLAQUEROB7S sqosHOMOFOBICOS mengganaatores 
DS_IMG_1782,"""LES ""MEXICHANGOS"" ""{CUÁNTASC MêX ""EN LAS MALVINAS SE HABLA INGLÉS"" DE LA ""PESODEVALUADO"" 'NARIZONES"" ""SALTAMUROS"" QUITARON TEXAS"" COPAS TENÉS?"" ""MESEROS CONDESA"" "
DS_IMG_2029,[O@SOYKRIEN FESTOESIOOO [ANERASDEMIORIR memegeneratore 
DS_IMG_727,Yo: seguro que me habían quedado 8200 de la última vez. El cajero: No Estoy 
DS_IMG_2577,CCt Aur BANGAT Canciones de Taylor Swift para celebrar que ganaste tu primera Copa Oro 
DS_IMG_1830,XICP (w CCuanto a que en unos días Michael Kors también se piratea el diseño del sarape del Canelo? IMIE 
DS_IMG_3027,"desnotivocioneses Estos son mis vecinos, al verme con una chica que ellos no visto hayan "
DS_IMG_2510,Sabes que la comida va a ser muy buena si tu abuelita usa de estos: 
DS_IMG_35,"Eres racista? para nada para nada para nada No, No, No, "
DS_IMG_2841,CUANDO LE ESTÉS ARGUMENTANDO @ ALGUIEN QUE QÚN ESTÉS JOVEN Y TE PECA LA PGRURA EL DEFORMA 
DS_IMG_3263,"el vecino de abajo, no me dejan dormir con el wiky wiky yo trabajo mañana_ Soy ese, Aceite q0SVGL PICATE "
DS_IMG_1920,Yo el Iro de enero después de haberme comido hasta el unicel. 42 
DS_IMG_2421,iJulio viene MUY PESADO! 
DS_IMG_2153,YEL MADRID COMOHA QUEDAO 
DS_IMG_2041,CUANDO LLEVAS AñOSA UN GRAN NIVEL 8 1 YHAY GENTEQUETEEMPIEZAA CONOCER PORQUEJUEGASCONTRAEL MADRID 
DS_IMG_1358,ESEALBURSONO COMOLERSO YMIS HUEVOS PAFTU ALMUERZO 
DS_IMG_942,Mi cuchara cuando el helado está muy congelado PaqueTomomesErclma 
DS_IMG_2767,"@cwiixstyles Les juro que intento ser buen ser humano, pero puta que odio al Neymar ctm. 9:19 p 24 mar. 2022 Twitter for Android "
DS_IMG_1926,En serio? Me lo juras? 
DS_IMG_2137,iCARíSIMO POR CIERTO! 
